0
czas_fazy_1
czas_fazy_2
czas_fazy_3
max_predkosc
cisnienie_tloka
cisnienie_koncowe
nachdruck_hub
anguss
oni_temp_curr_f1
oni_temp_fore_f2
vds_air_pressure
vds_vac_hose1
vds_vac_hose2
vds_vac_tank
vds_vac_valve1
vds_vac_valve2
czas_taktu
flow_1
flow_3
flow_4
flow_6
flow_7
flow_8
flow_10
flow_11
flow_12
flow_13
flow_14
flow_15
flow_16
flow_17
flow_18
flow_20
flow_21
flow_22
flow_24
flow_26
flow_27
flow_28
start_delay_1
start_delay_2
start_delay_3
start_delay_4
start_delay_6
start_delay_10
start_delay_12
start_delay_13
start_delay_21
start_delay_22
start_delay_25
start_delay_26
temp_1
temp_2
temp_3
temp_4
temp_6
temp_7
temp_8
temp_9
temp_10
temp_11
temp_13
temp_15
temp_17
temp_18
temp_21
temp_22
temp_23
temp_24
temp_25
temp_26
temp_27
temp_28
our_final_status
